Datetime,streamflow,quality
1980-10-01,393.306,2
1980-10-02,420.975,2
1980-10-03,428.996,2
1980-10-04,428.996,2
1980-10-05,413.004,2
1980-10-06,397.219,2
1980-10-07,377.782,2
1980-10-08,358.67699999999996,2
1980-10-09,347.376,2
1980-10-10,336.19699999999995,2
1980-10-11,332.499,2
1980-10-12,328.814,2
1980-10-13,332.499,2
1980-10-14,343.63599999999997,2
1980-10-15,370.1,2
1980-10-16,405.086,2
1980-10-17,449.272,2
1980-10-18,445.19199999999995,2
1980-10-19,409.039,2
1980-10-20,401.14599999999996,2
1980-10-21,373.934,2
1980-10-22,343.63599999999997,2
1980-10-23,332.499,2
1980-10-24,325.143,2
1980-10-25,317.843,2
1980-10-26,310.599,2
1980-10-27,303.41200000000003,2
1980-10-28,332.499,2
1980-10-29,381.64300000000003,2
1980-10-30,358.67699999999996,2
1980-10-31,325.143,2
1980-11-01,306.999,2
1980-11-02,289.21,2
1980-11-03,317.843,2
1980-11-04,445.19199999999995,2
1980-11-05,595.253,2
1980-11-06,604.264,2
1980-11-07,626.991,2
1980-11-08,668.6080000000001,2
1980-11-09,754.505,2
1980-11-10,1010.7810000000001,2
1980-11-11,1256.365,2
1980-11-12,1367.8670000000002,2
1980-11-13,1279.572,2
1980-11-14,1187.61,2
1980-11-15,1114.614,2
1980-11-16,968.097,2
1980-11-17,828.7189999999999,2
1980-11-18,725.4839999999999,2
1980-11-19,663.939,2
1980-11-20,608.7869999999999,2
1980-11-21,564.076,2
1980-11-22,568.495,2
1980-11-23,696.85,2
1980-11-24,984.0310000000001,2
1980-11-25,1032.355,2
1980-11-26,946.99,2
1980-11-27,941.738,2
1980-11-28,1086.958,2
1980-11-29,1092.471,2
1980-11-30,1059.538,2
1980-12-01,1125.743,2
1980-12-02,1355.979,2
1980-12-03,1892.854,2
1980-12-04,2375.321,2
1980-12-05,2582.475,2
1980-12-06,2504.073,2
1980-12-07,2257.344,2
1980-12-08,2060.115,1
1980-12-09,1979.8410000000001,1
1980-12-10,2043.97,1
1980-12-11,2092.542,1
1980-12-12,2116.979,1
1980-12-13,1971.875,1
1980-12-14,1924.325,1
1980-12-15,1955.979,1
1980-12-16,2043.97,1
1980-12-17,2240.665,1
1980-12-18,2383.8289999999997,1
1980-12-19,2486.7670000000003,1
1980-12-20,2608.8,1
1980-12-21,2777.705,1
1980-12-22,2931.991,1
1980-12-23,3079.885,1
1980-12-24,3136.008,1
1980-12-25,3136.008,1
1980-12-26,3098.553,1
1980-12-27,2968.722,1
