Datetime,streamflow,quality
1980-10-01,6.263,2
1980-10-02,6.043,2
1980-10-03,5.614,2
1980-10-04,5.614,2
1980-10-05,5.614,2
1980-10-06,5.614,2
1980-10-07,5.614,2
1980-10-08,6.488,2
1980-10-09,7.426,2
1980-10-10,7.920,2
1980-10-11,8.430,2
1980-10-12,8.430,2
1980-10-13,8.173,2
1980-10-14,7.426,2
1980-10-15,6.949,2
1980-10-16,6.488,2
1980-10-17,6.488,2
1980-10-18,6.263,2
1980-10-19,6.043,2
1980-10-20,5.614,2
1980-10-21,5.614,2
1980-10-22,5.614,2
1980-10-23,5.826,2
1980-10-24,6.043,2
1980-10-25,6.263,2
1980-10-26,6.488,2
1980-10-27,6.716,2
1980-10-28,6.716,2
1980-10-29,6.488,2
1980-10-30,6.488,2
1980-10-31,11.530,2
1980-11-01,11.530,2
1980-11-02,16.565,2
1980-11-03,8.430,2
1980-11-04,6.263,2
1980-11-05,85.249,2
1980-11-06,66.799,2
1980-11-07,8.957,2
1980-11-08,8.430,2
1980-11-09,8.691,2
1980-11-10,8.691,2
1980-11-11,9.226,2
1980-11-12,10.059,2
1980-11-13,11.228,2
1980-11-14,13.763,2
1980-11-15,43.138,2
1980-11-16,33.025,2
1980-11-17,19.635,2
1980-11-18,22.973,2
1980-11-19,21.270,2
1980-11-20,21.270,2
1980-11-21,21.270,2
1980-11-22,21.270,2
1980-11-23,19.236,2
1980-11-24,18.842,2
1980-11-25,19.236,2
1980-11-26,24.295,2
1980-11-27,31.475,2
1980-11-28,29.962,2
1980-11-29,26.582,2
1980-11-30,25.197,2
1980-12-01,22.973,2
1980-12-02,22.113,2
1980-12-03,20.855,2
1980-12-04,20.855,2
1980-12-05,34.081,2
1980-12-06,22.973,2
1980-12-07,23.850,2
1980-12-08,23.410,2
1980-12-09,24.295,2
1980-12-10,23.850,2
1980-12-11,29.962,2
1980-12-12,27.052,2
1980-12-13,33.551,2
1980-12-14,29.466,2
1980-12-15,37.908,2
1980-12-16,29.466,2
1980-12-17,30.966,2
1980-12-18,30.966,2
1980-12-19,29.962,2
1980-12-20,28.975,2
1980-12-21,28.975,2
1980-12-22,32.504,2
1980-12-23,28.975,2
1980-12-24,29.466,2
1980-12-25,28.975,2
1980-12-26,28.488,2
1980-12-27,31.475,2
1980-12-28,29.962,2
1980-12-29,36.242,2
1980-12-30,52.630,2
1980-12-31,37.349,2
1981-01-01,83.553,2
1981-01-02,43.741,2
1981-01-03,41.946,2
1981-01-04,43.741,2
1981-01-05,41.946,2
1981-01-06,41.946,2
1981-01-07,41.356,2
1981-01-08,40.190,2
1981-01-09,39.613,2
1981-01-10,46.194,2
1981-01-11,53.297,2
1981-01-12,42.540,2
1981-01-13,41.356,2
1981-01-14,41.356,2
1981-01-15,40.771,2
1981-01-16,41.946,2
1981-01-17,56.698,2
1981-01-18,60.208,2
1981-01-19,52.630,2
1981-01-20,48.080,2
1981-01-21,75.335,2
