Datetime,streamflow(mm/d),quality
1980-10-01,8.621567482596003e-08,2
1980-10-02,8.934920278463958e-08,2
1980-10-03,9.255064001796541e-08,2
1980-10-04,8.621567482596003e-08,2
1980-10-05,8.934920278463958e-08,2
1980-10-06,8.621567482596003e-08,2
1980-10-07,8.621567482596003e-08,2
1980-10-08,8.621567482596003e-08,2
1980-10-09,8.468286548394341e-08,2
1980-10-10,8.167545474960702e-08,2
1980-10-11,8.316945879182574e-08,2
1980-10-12,8.167545474960702e-08,2
1980-10-13,8.621567482596003e-08,2
1980-10-14,7.173159667639794e-08,2
1980-10-15,8.167545474960702e-08,2
1980-10-16,7.873595328991692e-08,2
1980-10-17,8.167545474960702e-08,2
1980-10-18,8.468286548394341e-08,2
1980-10-19,8.167545474960702e-08,2
1980-10-20,8.316945879182574e-08,2
1980-10-21,8.020085335728725e-08,2
1980-10-22,8.316945879182574e-08,2
1980-10-23,8.167545474960702e-08,2
1980-10-24,7.873595328991692e-08,2
1980-10-25,8.468286548394341e-08,2
1980-10-26,8.167545474960702e-08,2
1980-10-27,7.873595328991692e-08,2
1980-10-28,8.167545474960702e-08,2
1980-10-29,8.020085335728725e-08,2
1980-10-30,8.020085335728725e-08,2
1980-10-31,8.020085335728725e-08,2
1980-11-01,8.167545474960702e-08,2
1980-11-02,8.020085335728725e-08,2
1980-11-03,8.020085335728725e-08,2
1980-11-04,8.316945879182574e-08,2
1980-11-05,7.873595328991692e-08,2
1980-11-06,8.167545474960702e-08,2
1980-11-07,7.873595328991692e-08,2
1980-11-08,8.167545474960702e-08,2
1980-11-09,7.873595328991692e-08,2
1980-11-10,8.167545474960702e-08,2
1980-11-11,7.873595328991692e-08,2
1980-11-12,8.316945879182574e-08,2
1980-11-13,8.167545474960702e-08,2
1980-11-14,8.316945879182574e-08,2
1980-11-15,8.167545474960702e-08,2
1980-11-16,7.873595328991692e-08,2
1980-11-17,8.167545474960702e-08,2
1980-11-18,7.873595328991692e-08,2
1980-11-19,8.167545474960702e-08,2
1980-11-20,7.873595328991692e-08,2
1980-11-21,8.167545474960702e-08,2
1980-11-22,7.873595328991692e-08,2
1980-11-23,7.588376375477207e-08,2
1980-11-24,7.873595328991692e-08,2
1980-11-25,8.167545474960702e-08,2
1980-11-26,7.873595328991692e-08,2
1980-11-27,8.167545474960702e-08,2
1980-11-28,8.020085335728725e-08,2
1980-11-29,8.167545474960702e-08,2
1980-11-30,7.7300157197395e-08,2
1980-12-01,7.873595328991692e-08,2
1980-12-02,7.7300157197395e-08,2
1980-12-03,8.020085335728725e-08,2
1980-12-04,7.7300157197395e-08,2
1980-12-05,7.7300157197395e-08,2
1980-12-06,8.020085335728725e-08,2
1980-12-07,7.447707163709859e-08,2
1980-12-08,7.7300157197395e-08,2
1980-12-09,7.447707163709859e-08,2
1980-12-10,7.7300157197395e-08,2
1980-12-11,7.7300157197395e-08,2
1980-12-12,7.7300157197395e-08,2
1980-12-13,7.447707163709859e-08,2
1980-12-14,7.447707163709859e-08,2
1980-12-15,7.447707163709859e-08,2
1980-12-16,7.873595328991692e-08,2
1980-12-17,7.588376375477207e-08,2
1980-12-18,7.309948349427352e-08,2
1980-12-19,7.873595328991692e-08,2
