Datetime,streamflow,quality
1980-10-01,254.532,2
1980-10-02,242.423,2
1980-10-03,232.53,2
1980-10-04,222.81799999999998,2
1980-10-05,215.18,2
1980-10-06,209.52700000000002,2
1980-10-07,205.796,2
1980-10-08,203.94099999999997,2
1980-10-09,203.94099999999997,2
1980-10-10,209.52700000000002,2
1980-10-11,222.81799999999998,2
1980-10-12,242.423,2
1980-10-13,262.748,2
1980-10-14,266.899,2
1980-10-15,256.575,2
1980-10-16,244.423,2
1980-10-17,232.53,2
1980-10-18,217.078,2
1980-10-19,207.658,2
1980-10-20,202.09400000000002,2
1980-10-21,196.59599999999998,2
1980-10-22,192.967,2
1980-10-23,191.16400000000002,2
1980-10-24,200.253,2
1980-10-25,218.984,2
1980-10-26,222.81799999999998,2
1980-10-27,205.796,2
1980-10-28,192.967,2
1980-10-29,185.799,2
1980-10-30,200.253,2
1980-10-31,252.49599999999998,2
1980-11-01,323.43,2
1980-11-02,442.657,2
1980-11-03,427.184,2
1980-11-04,365.324,2
1980-11-05,392.02099999999996,2
1980-11-06,509.707,2
1980-11-07,392.02099999999996,2
1980-11-08,592.622,2
1980-11-09,751.528,2
1980-11-10,696.7280000000001,2
1980-11-11,659.143,2
1980-11-12,634.595,2
1980-11-13,616.453,2
1980-11-14,424.62800000000004,2
1980-11-15,341.774,2
1980-11-16,312.19,2
1980-11-17,312.19,2
1980-11-18,294.57,2
1980-11-19,273.178,2
1980-11-20,312.19,2
1980-11-21,461.01300000000003,2
1980-11-22,774.6189999999999,2
1980-11-23,696.7280000000001,2
1980-11-24,532.033,2
1980-11-25,534.8530000000001,2
1980-11-26,575.019,2
1980-11-27,634.595,2
1980-11-28,575.019,2
1980-11-29,526.4119999999999,2
1980-11-30,767.99,2
1980-12-01,1176.912,2
1980-12-02,1641.2479999999998,2
1980-12-03,2161.433,2
1980-12-04,1483.652,2
1980-12-05,1129.483,2
1980-12-06,811.5219999999999,2
1980-12-07,801.383,2
1980-12-08,794.655,1
1980-12-09,791.3,1
1980-12-10,804.757,1
1980-12-11,811.5219999999999,1
1980-12-12,828.544,1
1980-12-13,821.717,1
1980-12-14,828.544,1
1980-12-15,1025.904,1
1980-12-16,1362.329,1
1980-12-17,1336.922,1
1980-12-18,1387.945,1
1980-12-19,1448.526,1
1980-12-20,2086.976,1
1980-12-21,1921.7479999999998,1
1980-12-22,1439.8029999999999,1
1980-12-23,1457.273,1
1980-12-24,1584.635,1
1980-12-25,1418.094,1
1980-12-26,1295.0439999999999,1
1980-12-27,1320.101,1
1980-12-28,1584.635,1
1980-12-29,1603.371,1
1980-12-30,1396.53,1
1980-12-31,1647.614,1
1981-01-01,1751.524,1
1981-01-02,1778.112,1
1981-01-03,2206.875,1
1981-01-04,3005.494,1
1981-01-05,2330.902,1
1981-01-06,1537.031,1
1981-01-07,1213.0439999999999,1
1981-01-08,1010.931,1
1981-01-09,1044.755,1
1981-01-10,1082.9089999999999,1
1981-01-11,1121.661,1
1981-01-12,1184.9,1
1981-01-13,1764.787,1
1981-01-14,1914.753,1
1981-01-15,1496.9189999999999,1
1981-01-16,1307.546,1
1981-01-17,1532.5510000000002,1
1981-01-18,1413.77,1
1981-01-19,1204.974,1
1981-01-20,1209.006,1
1981-01-21,1213.0439999999999,1
1981-01-22,1217.088,1
1981-01-23,1686.124,1
1981-01-24,1832.026,1
1981-01-25,1510.2379999999998,1
1981-01-26,1426.76,1
1981-01-27,1311.725,1
1981-01-28,1295.0439999999999,1
1981-01-29,1634.898,1
1981-01-30,2719.5809999999997,1
1981-01-31,1426.76,1
1981-02-01,1204.974,1
1981-02-02,1241.4769999999999,2
1981-02-03,1117.759,2
1981-02-04,1125.569,2
1981-02-05,1172.927,2
1981-02-06,1164.975,2
1981-02-07,901.721,2
1981-02-08,687.2460000000001,2
1981-02-09,625.495,2
1981-02-10,659.143,2
1981-02-11,933.909,2
1981-02-12,1059.945,2
1981-02-13,1266.077,2
1981-02-14,1375.111,2
1981-02-15,1278.4560000000001,2
1981-02-16,1052.338,2
1981-02-17,852.635,2
1981-02-18,767.99,2
