Datetime,streamflow,quality
1980-10-01,10.451,2
1980-10-02,11.982,2
1980-10-03,14.068,2
1980-10-04,13.128,2
1980-10-05,9.404,2
1980-10-06,8.794,2
1980-10-07,9.199,2
1980-10-08,9.199,2
1980-10-09,9.404,2
1980-10-10,8.794,2
1980-10-11,8.199,2
1980-10-12,7.428,2
1980-10-13,7.053,2
1980-10-14,6.867,2
1980-10-15,7.428,2
1980-10-16,6.867,2
1980-10-17,6.144,2
1980-10-18,5.449,2
1980-10-19,4.947,2
1980-10-20,4.783,2
1980-10-21,4.622,2
1980-10-22,4.947,2
1980-10-23,4.783,2
1980-10-24,4.622,2
1980-10-25,4.462,2
1980-10-26,4.462,2
1980-10-27,4.304,2
1980-10-28,4.304,2
1980-10-29,4.462,2
1980-10-30,4.462,2
1980-10-31,4.947,2
1980-11-01,4.947,2
1980-11-02,3.843,2
1980-11-03,3.545,2
1980-11-04,3.545,2
1980-11-05,3.545,2
1980-11-06,3.400,2
1980-11-07,3.115,2
1980-11-08,2.442,2
1980-11-09,2.315,2
1980-11-10,2.315,2
1980-11-11,2.839,2
1980-11-12,5.620,2
1980-11-13,4.947,2
1980-11-14,3.994,2
1980-11-15,2.572,2
1980-11-16,2.572,2
1980-11-17,3.400,2
1980-11-18,3.256,2
1980-11-19,4.622,2
1980-11-20,4.148,2
1980-11-21,5.449,2
1980-11-22,5.620,2
1980-11-23,5.449,2
1980-11-24,5.112,2
1980-11-25,4.783,2
1980-11-26,4.304,2
1980-11-27,3.693,2
1980-11-28,3.545,2
1980-11-29,3.256,2
1980-11-30,3.115,2
1980-12-01,1.490,2
1980-12-02,1.946,2
1980-12-03,2.315,2
1980-12-04,2.189,2
1980-12-05,2.189,2
1980-12-06,2.189,2
1980-12-07,1.946,2
1980-12-08,1.828,2
1980-12-09,1.713,2
1980-12-10,1.713,2
1980-12-11,1.828,2
1980-12-12,1.713,2
1980-12-13,1.713,2
1980-12-14,1.713,2
1980-12-15,1.600,2
1980-12-16,1.490,2
1980-12-17,1.490,2
1980-12-18,1.490,2
1980-12-19,1.490,2
1980-12-20,1.490,2
1980-12-21,1.490,2
1980-12-22,2.189,2
1980-12-23,2.704,2
1980-12-24,2.315,2
1980-12-25,2.572,2
1980-12-26,3.115,2
1980-12-27,5.112,2
1980-12-28,9.610,2
1980-12-29,11.316,2
1980-12-30,8.004,2
1980-12-31,8.004,2
1981-01-01,8.199,2
1981-01-02,6.322,2
1981-01-03,5.620,2
1981-01-04,5.112,2
1981-01-05,4.148,2
1981-01-06,3.994,2
1981-01-07,3.545,2
1981-01-08,4.148,2
1981-01-09,7.810,2
1981-01-10,7.618,2
1981-01-11,8.396,2
1981-01-12,8.199,2
1981-01-13,8.396,1
1981-01-14,9.404,1
1981-01-15,10.665,1
1981-01-16,11.982,1
1981-01-17,12.208,1
1981-01-18,20.931,1
1981-01-19,21.473,1
1981-01-20,45.385,1
1981-01-21,42.986,1
1981-01-22,73.133,1
1981-01-23,102.085,1
1981-01-24,115.336,1
1981-01-25,118.611,1
1981-01-26,149.873,1
1981-01-27,183.380,1
1981-01-28,193.735,1
1981-01-29,144.335,1
1981-01-30,83.417,1
1981-01-31,67.959,1
1981-02-01,63.292,1
